NOMBRE,GARMINCODE,GIROTIPO,TELEFONO,NOMBRE_VIA,CUADRA,URBANIZACI,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMEN,PAIS,LONGITUDE,LATITUDE,TOT,orig_ogc_fid
Centro de Salud,0x3002,hospital,,AV JARDINES ESTE,8,,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.995632,-12.00197,"-76.9956, -12.002",1799
Centro de Salud,0x3002,hospital,,,,AH HORACIO ZEVALLOS GRUPO F,,ATE,LIMA,LIMA,PERU,-76.8385,-12.01838,"-76.8385, -12.0184",1800
Policlinico Parroquial San Luis Maria de Monfort,0x3002,hospital,,AV MARIATEGUI,,,,ATE,LIMA,LIMA,PERU,-76.825782,-12.013503,"-76.8258, -12.0135",1801
Centro de Salud,0x3002,hospital,,CA EUCALIPTOS,,AH VILLA RICA,,CHACLACAYO,LIMA,LIMA,PERU,-76.826124,-11.993409,"-76.8261, -11.9934",1802
Centro de Salud Ganimedes,0x3002,hospital,,AV SOL,2,UB GANIMEDES,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.011464,-11.983311,"-77.0115, -11.9833",1803
CE Mixto Isabel Chimpu Ocllo,0x2c05,colegio,,JR CUSCO,40,RES AEROPUERTO,,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.094319,-12.034426,"-77.0943, -12.0344",1810
Clinica Opeluce,0x3002,hospital,4728829,AV JOSE PARDO DE ZELA,,,AREQUIPA 1885,LINCE,LIMA,LIMA,PERU,-77.034436,-12.083393,"-77.0344, -12.0834",1812
Colegio Salesiano,0x2c05,colegio,,AV BRASIL,2,,,BRENA,LIMA,LIMA,PERU,-77.042991,-12.06165,"-77.043, -12.0617",1813
CE Santos Arcangel,0x2c05,colegio,,AV NARANJAL,13,UB PARQUE DEL NARANJAL 2 ETAPA,,LOS OLIVOS (LIMA),LIMA,LIMA,PERU,-77.080736,-11.977471,"-77.0807, -11.9775",1815
Policlinico San Francisco,0x3002,hospital,,,,ASOC PARAISO FLORIDO 1 ETAPA,,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.09902,-11.98778,"-77.099, -11.9878",1820
CE Ricardo Palma,0x2c05,colegio,,,,ASOC PARAISO FLORIDO 1 ETAPA,,SAN MARTIN DE PORRES,LIMA,LIMA,PERU,-77.09791,-11.98792,"-77.0979, -11.9879",1821
Clinica ESSALUD Pablo Bermudez,0x3002,hospital,330-3596 / 330-9817,JR PABLO BERMUDEZ,3,,AV. PABLO BERMUDEZ 266,JESUS MARIA,LIMA,LIMA,PERU,-77.038396,-12.072507,"-77.0384, -12.0725",1829
Centro Adulto Mayor Pablo Bermudez,0x3002,hospital,,JR PABLO BERMUDEZ,5,,,JESUS MARIA,LIMA,LIMA,PERU,-77.040007,-12.072219,"-77.04, -12.0722",1830
Posta Medica,0x3002,hospital,,JR REQUE,2,UB EL PLANETA,,LIMA,LIMA,LIMA,PERU,-77.058147,-12.039215,"-77.0581, -12.0392",1832
Colegio Fe y Alegria 4,0x2c05,colegio,,CA LIQUENES,5,UB LAS FLORES,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.010869,-12.02231,"-77.0109, -12.0223",1835
CE San Vicente,0x2c05,colegio,,AV CANTO GRANDE,24,UB ELISABETH,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.015111,-11.989607,"-77.0151, -11.9896",1844
Puesto Salud Ayacucho,0x3002,hospital,,PJE FERNANDO VII,,ASOC AYACUCHO,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.0166,-11.984369,"-77.0166, -11.9844",1846
CE San Rafael,0x2c05,colegio,,AV CANTO GRANDE,36,UB LOS JAZMINES,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.005269,-11.969861,"-77.0053, -11.9699",1852
Centro de Salud Privado,0x3002,hospital,,AV CANTO GRANDE,,PJ JESUS OROPEZA CHONTA,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.002427,-11.965937,"-77.0024, -11.9659",1857
Hospital Materno Infantil Canto Grande,0x3002,hospital,,AV CANTO GRANDE,38,UB VILLA HERMOSA,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.001595,-11.963807,"-77.0016, -11.9638",1858
Puesto de Salud Proyectos Especiales,0x3002,hospital,,,,AH BAYOVAR 1 ZONA,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.992105,-11.95532,"-76.9921, -11.9553",1863
Puesto de Salud Bayovar,0x3002,hospital,,AV HEROES DEL CENEPA OESTE,2,AH HOSPITAL DEL NI�O,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.98928,-11.957459,"-76.9893, -11.9575",1864
CEP Arquimedes,0x2c05,colegio,,AV HEROES DEL CENEPA ESTE,,UB MARISCAL CACERES SECTOR 2 BARRIO 1 GRUPO RESIDENCIAL A,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.98429,-11.960123,"-76.9843, -11.9601",1865
CE Parroquial San Pedro,0x2c05,colegio,,AV CENTRAL,5,AH LAS MAGNOLIAS,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.987623,-11.965958,"-76.9876, -11.966",1870
CE Huaman Poma de Ayala,0x2c05,colegio,,AV SANTA ROSA SUR,9,UB VILLA HUANTA,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-76.993895,-11.984296,"-76.9939, -11.9843",1874
CE El Milagro,0x2c05,colegio,,AV SOL,1,UB CANTO GRANDE ETAPA 3,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.011188,-11.98254,"-77.0112, -11.9825",1877
Centro de Salud Servan,0x3002,hospital,,AV JARDINES OESTE,1,,,SAN JUAN DE LURIGANCHO,LIMA,LIMA,PERU,-77.006313,-12.006369,"-77.0063, -12.0064",1879
Colegio Pedro Labarte,0x2c05,colegio,,AV MEXICO,20,UB APOLO,,LA VICTORIA (LIMA),LIMA,LIMA,PERU,-77.006375,-12.06848,"-77.0064, -12.0685",1888
Clinica Suarez Essalud,0x3002,hospital,444-1985,AV GENERAL SUAREZ,10,,GENERAL SUAREZ 1070,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.02737,-12.109709,"-77.0274, -12.1097",1889
CE Los Educadores,0x2c05,colegio,,AV DEL AIRE,12,UB LA VI�A,,SAN LUIS (LIMA),LIMA,LIMA,PERU,-76.998357,-12.077832,"-76.9984, -12.0778",1912
Clinica Caminos del Inca,0x3002,hospital,,AV CAMINOS DEL INCA,26,UB PROLONGACION BENAVIDES,,SURCO,LIMA,LIMA,PERU,-76.984454,-12.138019,"-76.9845, -12.138",1941
Policlinico Proceres ESSALUD,0x3002,hospital,274-0455,AV PROCERES,4,UB SAN ROQUE,AV. PROCERES 440,SURCO,LIMA,LIMA,PERU,-76.988438,-12.150745,"-76.9884, -12.1507",1945
Clinica Miraflores,0x3002,hospital,444-7004,AV BENAVIDES,18,UB ROSEDAL,ENCINAS 141,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.013495,-12.127158,"-77.0135, -12.1272",1949
Posta Medica,0x3002,hospital,,,,AH CERRO HUASCATA,,CHACLACAYO,LIMA,LIMA,PERU,-76.819119,-11.99431,"-76.8191, -11.9943",1952
Alerta Medica,0x3002,hospital,225-8668 / 225-4040,AV NICOLAS ARRIOLA,3,,NICOLAS ARRIOLA 314 URB. STA.CATALINA,LA VICTORIA (LIMA),LIMA,LIMA,PERU,-77.015881,-12.08759,"-77.0159, -12.0876",1953
Centro de Salud Punta Hermosa,0x3002,hospital,,JR PIMENTEL,2,,,PUNTA HERMOSA,LIMA,LIMA,PERU,-76.82615,-12.337876,"-76.8261, -12.3379",1976
Colegio Ricardo Bentin,0x2c05,colegio,,,,,,RIMAC,LIMA,LIMA,PERU,-77.037872,-12.031466,"-77.0379, -12.0315",1984
Posta Leoncio Prado,0x3002,hospital,,PASAJE I,,UB LEONCIO PRADO,,RIMAC,LIMA,LIMA,PERU,-77.030829,-12.031578,"-77.0308, -12.0316",1985
Centro de Salud,0x3002,hospital,,,,,,RIMAC,LIMA,LIMA,PERU,-77.03249,-12.01073,"-77.0325, -12.0107",1986
Centro de Salud,0x3002,hospital,,AV GUILLERMO SUAREZ,,UB EL BOSQUE,,RIMAC,LIMA,LIMA,PERU,-77.03019,-12.01749,"-77.0302, -12.0175",1987
Posta de Salud,0x3002,hospital,,,,PJ EL MILAGRO DE LA FRATERNIDAD,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.04896,-12.01005,"-77.049, -12.0101",1988
Posta Medica,0x3002,hospital,,PJE FRANCISCO BOLOGNESI,,PJ VILLA EL CARMEN,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.04793,-12.01495,"-77.0479, -12.015",1989
Posta Medica Guadalupe,0x3002,hospital,,,,UV UNIDAD VECINAL DEL RIMAC,,RIMAC,LIMA,LIMA,PERU,-77.031583,-12.030211,"-77.0316, -12.0302",2001
Centro Medico Parroquial,0x3002,hospital,,,,UV UNIDAD VECINAL DEL RIMAC,,RIMAC,LIMA,LIMA,PERU,-77.031842,-12.030545,"-77.0318, -12.0305",2002
Colegio Especial Ricardo Bentin,0x2c05,colegio,,AV GUARDIA REPUBLICANA,3,AH HUERTA SANTA ROSA,,RIMAC,LIMA,LIMA,PERU,-77.030163,-12.034827,"-77.0302, -12.0348",2007
Direccion de Salud Norte,0x3002,hospital,,JR SAN GERMAN,2,,,RIMAC,LIMA,LIMA,PERU,-77.033352,-12.033967,"-77.0334, -12.034",2011
Centro de Salud San Isidro,0x3002,hospital,,AV AUGUSTO PEREZ ARANIBAR,17,,,SAN ISIDRO (LIMA),LIMA,LIMA,PERU,-77.054954,-12.106898,"-77.055, -12.1069",2076
Clinica Trujillo,0x3002,hospital,,AV UNIVERSITARIA,1,UB SANTA ISABEL,,CARABAYLLO,LIMA,LIMA,PERU,-77.038696,-11.899205,"-77.0387, -11.8992",2099
Clinica Zegarra,0x3002,hospital,536-5469,JR JOSE AGUILAR,2,UB SAN AGUSTIN 1 ETAPA,JOSE AGUILAR 200,COMAS,LIMA,LIMA,PERU,-77.049707,-11.934326,"-77.0497, -11.9343",2104
CE San Francisco Solano,0x2c05,colegio,,AV VICTOR A BELAUNDE OESTE,8,UB CHACRA CERRO,,COMAS,LIMA,LIMA,PERU,-77.055897,-11.934701,"-77.0559, -11.9347",2120
CE Moss Kanter,0x2c05,colegio,,PJE PABLO SACO OLIVEROS,2,UB EL RETABLO 4 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.05637,-11.93155,"-77.0564, -11.9316",2123
CE San Ignacio de Comas 2,0x2c05,colegio,,AV TUPAC AMARU,48,UB A�O NUEVO ZONA D,,COMAS,LIMA,LIMA,PERU,-77.042238,-11.920773,"-77.0422, -11.9208",2131
Policlinico Deser,0x3002,hospital,,AV TUPAC AMARU,45,UB A�O NUEVO ZONA E,,COMAS,LIMA,LIMA,PERU,-77.042859,-11.925215,"-77.0429, -11.9252",2132
CE San Felipe,0x2c05,colegio,,AV SAN FELIPE,2,UB SAN FELIPE I ETAPA,,COMAS,LIMA,LIMA,PERU,-77.035525,-11.906851,"-77.0355, -11.9069",2139
CE Bertold Brecht,0x2c05,colegio,,AV SAN FELIPE,7,UB SAN FELIPE II ETAPA SECTOR A,,COMAS,LIMA,LIMA,PERU,-77.039319,-11.901515,"-77.0393, -11.9015",2144
CE San Ignacio de Carabayllo,0x2c05,colegio,,AV UNIVERSITARIA,4,UB TUNGASUCA 1 ETAPA,,CARABAYLLO,LIMA,LIMA,PERU,-77.037649,-11.895716,"-77.0376, -11.8957",2146
Clinica Cadamujer,0x3002,hospital,,AV SALAVERRY,11,,,JESUS MARIA,LIMA,LIMA,PERU,-77.042341,-12.077316,"-77.0423, -12.0773",2149
Centro Medico Moderno,0x3002,hospital,,CA SANTA CRUZ,7,,,JESUS MARIA,LIMA,LIMA,PERU,-77.042497,-12.072669,"-77.0425, -12.0727",2156
Inppares,0x3002,hospital,261-2670,AV GIUSEPPE GARIBALDI,1,,GREGORIO ESCOBEDO 125,JESUS MARIA,LIMA,LIMA,PERU,-77.048991,-12.083838,"-77.049, -12.0838",2180
CE Juan Gerrero Quimper,0x2c05,colegio,,AV MARIA QUIMPER,,UB JOSE GALVEZ,,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.909278,-12.211564,"-76.9093, -12.2116",2184
Centro de Salud Materno Infantil,0x3002,hospital,,AV AGRICULTURA,1,UB JOSE GALVEZ,,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.907281,-12.210271,"-76.9073, -12.2103",2185
Hospital ESSALUD Carlos Alcantara Butterfield,0x3002,hospital,349-2288,AV DE LOS CONSTRUCTORES,12,UB COVIMA,AV. CONSTRUCCTORES CDRA. 11- COVIMA,LA MOLINA,LIMA,LIMA,PERU,-76.945308,-12.062048,"-76.9453, -12.062",2201
CE Huntec,0x2c05,colegio,,AV MICAELA BASTIDAS,,ASOC VIRGEN DEL ROSARIO,,COMAS,LIMA,LIMA,PERU,-77.05568,-11.928847,"-77.0557, -11.9288",2229
CE 8170,0x2c05,colegio,,CA CALLE 21,,UB EL RETABLO 3 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.061475,-11.934173,"-77.0615, -11.9342",2230
Centro de Salud Santa Luzmila,0x3002,hospital,,AV GUILLERMO DE LA FUENTE,2,UB SANTA LUZMILA,,COMAS,LIMA,LIMA,PERU,-77.063105,-11.941786,"-77.0631, -11.9418",2232
HospitalAurelio Molina Scippa ESSALUD,0x3002,hospital,537-4552,AV GUILLERMO DE LA FUENTE,5,UB SANTA LUZMILA,GUILLERMO DE LA FUENTE CON JR. VICENTE MORALES,COMAS,LIMA,LIMA,PERU,-77.057938,-11.943912,"-77.0579, -11.9439",2236
CE Pronei El Volante Mis Primeros Pasos,0x2c05,colegio,,AV EUCALIPTOS,,AH LA MELCHORITA,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.050377,-12.005932,"-77.0504, -12.0059",2240
Colegio,0x2c05,colegio,,AV EUCALIPTUS,,UB LAS VIOLETAS ZONA D,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.050995,-12.005381,"-77.051, -12.0054",2241
CE El Ermitano,0x2c05,colegio,,AV LOS EUCALIPTUS,,UB LAS VIOLETAS ZONA D,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.052764,-12.003444,"-77.0528, -12.0034",2242
CE Americana,0x2c05,colegio,,AV JAZMINES,1,UB LAS VIOLETAS ZONA E,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.053214,-12.001284,"-77.0532, -12.0013",2246
Centro de Salud,0x3002,hospital,,AV LOS PINOS,2,UB LAS VIOLETAS ZONA E,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.053952,-11.99762,"-77.054, -11.9976",2251
CE Fray Pedro Luis Urraca,0x2c05,colegio,,AV 17 DE NOVIEMBRE,3,PJ INDEPENDENCIA O PAMPA DE LA CUEVA,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.051493,-11.992794,"-77.0515, -11.9928",2252
Policlinico San Antonio de Padua,0x3002,hospital,,JR TUNGASUCA,1,UB POP TAHUANTINSUYO,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.048503,-11.977314,"-77.0485, -11.9773",2258
Centro de Salud,0x3002,hospital,,JR CAJABAMBA,3,UB TUPAC AMARU,,INDEPENDENCIA (LIMA),LIMA,LIMA,PERU,-77.045378,-11.97168,"-77.0454, -11.9717",2263
Centro Salud Carlos Rotzel,0x3002,hospital,,AV VICTOR ANDRES BELAUNDE ESTE,2,,,COMAS,LIMA,LIMA,PERU,-77.04665,-11.94034,"-77.0467, -11.9403",2269
CE Luz y Esperanza,0x2c05,colegio,,,,,,COMAS,LIMA,LIMA,PERU,-77.03128,-11.94213,"-77.0313, -11.9421",2274
Colegio Suecia,0x2c05,colegio,,,,,,COMAS,LIMA,LIMA,PERU,-77.038905,-11.925402,"-77.0389, -11.9254",2280
Centro Medico San Antonio ESSALUD,0x3002,hospital,,AV INCAS,4,UB A�O NUEVO ZONA D,,COMAS,LIMA,LIMA,PERU,-77.044942,-11.916656,"-77.0449, -11.9167",2283
CE 2005,0x2c05,colegio,,AV RETABLO,9,UB EL RETABLO 4 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.056764,-11.929695,"-77.0568, -11.9297",2285
CE Madre Teresa de la Cruz,0x2c05,colegio,,,,UB EL RETABLO 3 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.05948,-11.93354,"-77.0595, -11.9335",2286
CE San Vicente,0x2c05,colegio,,,,UB EL RETABLO 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.058738,-11.935927,"-77.0587, -11.9359",2287
CE Rene Descartes,0x2c05,colegio,,AV RETABLO,1,UB EL RETABLO 3 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.061651,-11.938512,"-77.0617, -11.9385",2289
Centro Educativo Ocupacional,0x2c05,colegio,,CA VICENTE ANGULO,,UB SANTA LUZMILA,,COMAS,LIMA,LIMA,PERU,-77.063438,-11.945133,"-77.0634, -11.9451",2294
Centro Salud Santa Luzmila,0x3002,hospital,,AV 22 DE AGOSTO,9,UB SANTA LUZMILA 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.058935,-11.947192,"-77.0589, -11.9472",2295
CEP Santo Domingo,0x2c05,colegio,,AV INCAS,6,UB EL PINAR PARCELA G,,COMAS,LIMA,LIMA,PERU,-77.052229,-11.912966,"-77.0522, -11.913",2301
CEN Tamayo,0x2c05,colegio,,,,COOP PRIMAVERA,,COMAS,LIMA,LIMA,PERU,-77.052771,-11.924377,"-77.0528, -11.9244",2302
CE 2020,0x2c05,colegio,,,,UB SAN AGUSTIN 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.049683,-11.929952,"-77.0497, -11.93",2303
Colegio Carlos Wiese,0x2c05,colegio,,AV TUPAC AMARU,15,PJ PAMPAS DE COMAS SECTOR A,,COMAS,LIMA,LIMA,PERU,-77.050838,-11.952045,"-77.0508, -11.952",2304
CE San Martin,0x2c05,colegio,,,,UB SANTA LUZMILA 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.063056,-11.95103,"-77.0631, -11.951",2305
CE 3072 Salazar Bondy,0x2c05,colegio,,,,UB SANTA LUZMILA 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.061696,-11.94674,"-77.0617, -11.9467",2306
CE Comercio,0x2c05,colegio,,,,UB EL RETABLO 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.052862,-11.938975,"-77.0529, -11.939",2307
CEP Huntec,0x2c05,colegio,,AV VICTOR ANDRES BELAUNDE OESTE,10,UB EL RETABLO 4 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.05831,-11.93358,"-77.0583, -11.9336",2308
Centro de Salud Santiago Apostol,0x3002,hospital,,JR 2 DE MAYO,,PJ PAMPAS DE COMAS SECTOR J,,COMAS,LIMA,LIMA,PERU,-77.043495,-11.956903,"-77.0435, -11.9569",2320
Centro de Salud,0x3002,hospital,,AV PUNO,4,PJ PAMPAS DE COMAS SECTOR A,,COMAS,LIMA,LIMA,PERU,-77.049272,-11.953812,"-77.0493, -11.9538",2321
Centro de Salud,0x3002,hospital,,JR JOSE MARIA QUIROGA,3,UB SANTA LUZMILA 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.059356,-11.951363,"-77.0594, -11.9514",2322
Centro de Salud,0x3002,hospital,,CA HUSARES DE JUNIN,2,UB CHACRA CERRO,,COMAS,LIMA,LIMA,PERU,-77.051615,-11.935852,"-77.0516, -11.9359",2323
Centro de Salud,0x3002,hospital,,CA WIRACOCHA,2,UB SAN AGUSTIN 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.049933,-11.9294,"-77.0499, -11.9294",2324
Centro de Salud,0x3002,hospital,,CA CALLE 48,,UB EL PINAR PARCELA H,,COMAS,LIMA,LIMA,PERU,-77.054718,-11.916084,"-77.0547, -11.9161",2325
Centro de Salud,0x3002,hospital,,JR ALAMEDA LA UNION,,UB A�O NUEVO ZONA D,,COMAS,LIMA,LIMA,PERU,-77.043718,-11.918637,"-77.0437, -11.9186",2326
Colegio 7055 Tupac Amaru II,0x2c05,colegio,,,,PJ VILLA MARIA DEL TRIUNFO,,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.944803,-12.163002,"-76.9448, -12.163",2328
CE 6072,0x2c05,colegio,,CA MARGARITAS,2,UB VILLA JARDIN ZONA 1,,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.95567,-12.16591,"-76.9557, -12.1659",2331
CE San Jorge,0x2c05,colegio,4458147 / 4459932 / Fax: 2415908,AV GENERAL ERNESTO MONTAGNE,3,UB AURORA,AV. GENERAL ERNESTO MONTAGNE 360,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.013244,-12.123938,"-77.0132, -12.1239",2333
Colegio Trilce de Miraflores,0x2c05,colegio,61-98100 / 2420478,AV BENAVIDES,19,UB ROSEDAL,AV. BENAVIDES 1930 - 1944,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.012293,-12.127316,"-77.0123, -12.1273",2335
CE Maria de las Mercedes,0x2c05,colegio,4454578,AV MERCED,3,UB ROSEDAL,AV. LA MERCED 390,MIRAFLORES (LIMA),LIMA,LIMA,PERU,-77.009677,-12.129203,"-77.0097, -12.1292",2339
CE Mixto Santa Teresita,0x2c05,colegio,,AV SURCO,2,UB LOS ROSALES,,SURCO,LIMA,LIMA,PERU,-76.997371,-12.144261,"-76.9974, -12.1443",2343
CE Cesar Vallejo,0x2c05,colegio,,,,UB PAMPLONA BAJA,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.975402,-12.147725,"-76.9754, -12.1477",2353
CE Ollantay,0x2c05,colegio,,,,AH ALMIRANTE MIGUEL GRAU,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.964118,-12.136941,"-76.9641, -12.1369",2357
Centro Salud Ollantay,0x3002,hospital,,,,AH OLLANTAY,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.963501,-12.135469,"-76.9635, -12.1355",2358
CE Miguel Grau,0x2c05,colegio,,,,AH ALMIRANTE MIGUEL GRAU,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.963823,-12.137149,"-76.9638, -12.1371",2361
Puesto Salud El Brillante,0x3002,hospital,,,,AH EL BRILLANTE,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.968461,-12.147024,"-76.9685, -12.147",2364
Centro Medico Nazarenas,0x3002,hospital,,,,AH LEONCIO PRADO,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.959708,-12.136886,"-76.9597, -12.1369",2371
CE Mixto San Juan,0x2c05,colegio,,AV GUILLERMO BILLINGHURST,8,UB SAN JUAN ZONA D,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.967144,-12.160676,"-76.9671, -12.1607",2376
CE San Juan Bautista,0x2c05,colegio,,AV GUILLERMO BILLINGHURST,11,UB SAN JUAN ZONA E GRUPO MATEO PUMACAHUA,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.961013,-12.163528,"-76.961, -12.1635",2378
CE 7079,0x2c05,colegio,,AV MIGUEL IGLESIAS,,ASOC URANMARCA,,SAN JUAN DE MIRAFLORES,LIMA,LIMA,PERU,-76.959251,-12.187165,"-76.9593, -12.1872",2383
CE Tecnologic Center,0x2c05,colegio,,AV MICAELA BASTIDAS,,PJ SECTOR III GRUPO 25 VSA,,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.9415,-12.216562,"-76.9415, -12.2166",2398
CE 6076 Republica de Nicaragua,0x2c05,colegio,,AV MICAELA BASTIDAS,,PJ SECTOR III GRUPO 26 VSA,,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.93971,-12.21977,"-76.9397, -12.2198",2401
CE 7093 Republica de Francia,0x2c05,colegio,,AV MICAELA BASTIDAS,,PJ SECTOR III GRUPO 23A VSA,,VILLA EL SALVADOR,LIMA,LIMA,PERU,-76.933844,-12.229353,"-76.9338, -12.2294",2404
Colegio Heroes del Alto Cenepa,0x2c05,colegio,,AV AVENIDA B,,COOP EL ALAMO PNP 2 ETAPA,,COMAS,LIMA,LIMA,PERU,-77.060395,-11.92249,"-77.0604, -11.9225",2405
CE Vizcardo y Guzman,0x2c05,colegio,,CA CALLE 2,3,UB A�O NUEVO ZONA E,,COMAS,LIMA,LIMA,PERU,-77.045559,-11.925654,"-77.0456, -11.9257",2406
CE Mercedes Indacochea,0x2c05,colegio,252-1412,AV ESCUELA MILITAR,1,,PANAMERICANA SUR 386,BARRANCO (LIMA),LIMA,LIMA,PERU,-77.019627,-12.15452,"-77.0196, -12.1545",2409
Policlinico PNP,0x3002,hospital,,AV CHORRILLOS,4,,,CHORRILLOS,LIMA,LIMA,PERU,-77.023523,-12.160191,"-77.0235, -12.1602",2412
Colegio Sagrado Corazon Chatel,0x2c05,colegio,,AV CHORRILLOS,6,,,CHORRILLOS,LIMA,LIMA,PERU,-77.023667,-12.160983,"-77.0237, -12.161",2413
Hogar del Nino,0x3002,hospital,,AV CHORRILLOS,6,,,CHORRILLOS,LIMA,LIMA,PERU,-77.023816,-12.162155,"-77.0238, -12.1622",2414
CEP San Agustin,0x2c05,colegio,,,,UB VILLA MARINA,,CHORRILLOS,LIMA,LIMA,PERU,-77.012898,-12.188766,"-77.0129, -12.1888",2422
CE San Francisco de Asis,0x2c05,colegio,,AV ALAMEDA BALLESTAS,1,UB CEDROS DE VILLA 12 ETAPA,,CHORRILLOS,LIMA,LIMA,PERU,-77.017518,-12.206382,"-77.0175, -12.2064",2429
Policlinico Suarmedic,0x3002,hospital,,AV ALAMEDA LOS HORIZONTES,17,UB CEDROS DE VILLA 8 ETAPA,,CHORRILLOS,LIMA,LIMA,PERU,-77.01227,-12.207803,"-77.0123, -12.2078",2433
Santo Domingo (CE),0x2c05,colegio,,CA VILLA MAR,1,UB CEDROS DE VILLA 7 ETAPA,,CHORRILLOS,LIMA,LIMA,PERU,-77.011163,-12.204741,"-77.0112, -12.2047",2435
CE Nino Jesus de Praga,0x2c05,colegio,,AV MAXIMO ALVARADO,,,,CHORRILLOS,LIMA,LIMA,PERU,-77.02396,-12.16692,"-77.024, -12.1669",2449
Centro de Salud,0x3002,hospital,,AV FERROCARRIL,,UB HUACRACHUCO,,CHORRILLOS,LIMA,LIMA,PERU,-77.02277,-12.16639,"-77.0228, -12.1664",2450
Posta Tablada de Lurin,0x3002,hospital,,JR RAMON CASTILLA,,AH SAN FRANCISCO DE LA TABLADA DE LURIN,,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.92751,-12.1928,"-76.9275, -12.1928",2455
CE 6073 Santa Rosa,0x2c05,colegio,,JR INCA ROCA,,AH SAN FRANCISCO DE LA TABLADA DE LURIN ZONA NUEVA,,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.93063,-12.18972,"-76.9306, -12.1897",2457
CE Jorge Basadre,0x2c05,colegio,,,,AH SAN FRANCISCO DE LA TABLADA DE LURIN ZONA NUEVA,,VILLA MARIA DEL TRIUNFO,LIMA,LIMA,PERU,-76.929481,-12.188165,"-76.9295, -12.1882",2458
